SampleGroup,mRNA,RNAseq,Value
ER+,TAF9_3,TRA2B_1,-5.86779473881435
ER+,KCNN3_3,THOC7_1,-5.70341239591481
ER+,SQRDL_3,COX6A1_1,4.90451164870102
ER+,SQRDL_3,ATP5G3_1,4.35377145815377
ER+,KCNN3_3,PABPN1_1,-4.34246266110995
ER+,SQRDL_3,ACTR3_1,4.30568306301379
ER+,KCNN3_3,SNRPD2_1,-4.20887117906041
ER+,CYP7B1_3,ECH1_1,3.97964383346246
ER+,SQRDL_3,SSU72_1,3.87531909477721
ER+,CYP7B1_3,FTH1_1,3.87255416511165
ER+,PTPLAD2_3,SH3GL1_1,3.76790679980875
ER+,CYP7B1_3,QARS_1,3.74842220540815
ER+,KCNN3_3,TRA2B_1,-3.62680214193994
ER+,SQRDL_3,PGK1_1,3.5945612597058
ER+,SQRDL_3,FTL_1,3.57563453767581
ER+,SQRDL_3,CHMP4B_1,3.54547703152746
ER+,SQRDL_3,ARF5_1,3.53496555135655
ER+,SQRDL_3,COX7B_1,3.47952718811044
ER+,CYP7B1_3,RBMX_1,3.47800091658067
ER+,CYP7B1_3,DDX42_1,3.42958920201513
ER+,PTPLAD2_3,PCBP1_1,3.37783848891794
ER+,CYP7B1_3,ATIC_1,3.37248128345415
ER+,XPA_3,TRA2B_1,3.23003593466815
ER+,KCNN3_3,SNRPA_1,-3.20756636002004
ER+,SQRDL_3,SF3B5_1,3.19373676670978
ER+,SQRDL_3,WIPI2_1,3.15785880915361
ER+,KCNN3_3,TAF9_1,-3.15093685996408
ER+,CYP7B1_3,SDHC_1,3.12572302259273
ER+,CYP7B1_3,PIGY_1,3.06731886692458
ER+,KCNN3_3,RBBP4_1,-3.05145990577185
ER+,SQRDL_3,ARPC1A_1,3.00577769616682
ER+,KCNN3_3,HNRNPK_1,-2.98900344140644
ER+,CYP7B1_3,ATP5G3_1,2.92782125619339
ER+,SQRDL_3,EMG1_1,2.91429023060279
ER+,PTPLAD2_3,ETF1_1,2.86514381678011
ER+,SQRDL_3,GAPDH_1,2.85024704736556
ER+,CYP7B1_3,EXOSC2_1,2.83148248436835
ER+,SQRDL_3,DYNLL1_1,2.81149286424706
ER+,ST3GAL6_3,TAF10_1,-2.79183352493321
ER+,KCNN3_3,HNRNPA1_1,-2.77721306360875
ER+,PGM2_3,EIF5B_1,-2.75719392658304
ER+,SQRDL_3,YWHAE_1,2.71540817330961
ER+,SQRDL_3,HSP90B1_1,2.71141688912707
ER+,SQRDL_3,KARS_1,2.68194275494908
ER+,TAF9_3,UQCRQ_1,-2.68189531818906
