SampleGroup,RNASeq1,RNAseq2,Value
ER+,ECH1_1,PIGY_1,-0.271645859365204
ER+,THOC7_1,PABPN1_1,-0.250682230841054
ER+,COX6A1_1,SF3B5_1,-0.217853080233047
ER+,PCBP1_1,SH3GL1_1,-0.214017815354587
ER+,ECH1_1,DDX42_1,-0.206260850112421
ER+,EXOSC2_1,QARS_1,-0.193623068002981
ER+,QARS_1,PIGY_1,-0.190281831517897
ER+,ECH1_1,SDHC_1,-0.184881978043596
ER+,PABPN1_1,VAMP8_1,-0.1827767538037
ER+,EIF3I_1,TXNL4A_1,-0.180111552118908
ER+,DDX42_1,SDHC_1,-0.178459967153632
ER+,RBBP4_1,PABPN1_1,-0.174907486624825
ER+,FTH1_1,GGPS1_1,-0.174773796622108
ER+,KARS_1,FUNDC1_1,-0.174071315460228
ER+,SSU72_1,CHMP4B_1,-0.164604204903325
ER+,SF3B2_1,SH3GL1_1,-0.161090747988249
ER+,EXOSC2_1,PIGY_1,-0.160816976559031
ER+,EIF3I_1,WARS_1,-0.156920022494268
ER+,TAF9_1,COX7C_1,-0.155467133408359
ER+,CHMP4B_1,DYNLL1_1,-0.154758433039154
ER+,UBE2M_1,SH3GL1_1,-0.154078565917098
ER+,ATP5G3_1,UBA1_1,-0.153710514695249
ER+,EIF5B_1,ETF1_1,-0.153192999728114
ER+,TAF9_1,SNRPA_1,-0.153044773868104
ER+,NAPA_1,CD63_1,-0.152248414601227
ER+,HMGB1_1,ATP5G3_1,-0.15145963664441
ER+,SOD1_1,SNRPD3_1,-0.149333534927411
ER+,QARS_1,TBL3_1,-0.146970418795177
ER+,SDHB_1,ELK1_1,-0.145292390788048
ER+,RARS_1,SF3B5_1,-0.142523258718722
ER+,HNRNPA1_1,ATP5E_1,-0.141708980548523
ER+,HNRNPU_1,ATP5A1_1,-0.140092066066814
ER+,SOD1_1,COX5B_1,-0.139990011521456
ER+,RARS_1,SH3GL1_1,-0.13975176336527
ER+,APEX1_1,ATP5A1_1,-0.139661418204921
ER+,ATP5G3_1,RRAGA_1,-0.136614769759904
ER+,APEX1_1,TAF10_1,-0.135772948767466
ER+,ACTR3_1,EHD1_1,-0.134702935622353
ER+,UBA1_1,MCAT_1,-0.133370629919039
ER+,HNRNPA3_1,EIF5B_1,-0.132084071435505
ER+,EMG1_1,FTL_1,-0.131820731863292
ER+,ATP5B_1,SNRPD2_1,-0.131038153253275
