SampleGroup,RNASeq1,RNAseq2,Value
ER+,GP1BB_3,COX6A2_3,-0.318482413976087
ER+,PTTG1_3,PTTG2_3,-0.316633190261377
ER+,ABCA8_3,C7_3,-0.301955429482643
ER+,PTPRC_3,CD2_3,-0.297344006014379
ER+,ABCA8_3,FXYD1_3,-0.286335839225396
ER+,PDCD1_3,ICOS_3,-0.284855910345946
ER+,PDCD1_3,CD2_3,-0.258721330538336
ER+,CD6_3,PDCD1_3,-0.254285703352631
ER+,PTPRC_3,PTGER4_3,-0.248297623091452
ER+,LAT_3,PDCD1_3,-0.245840099949814
ER+,UBE2C_3,MYBL2_3,-0.240814570111103
ER+,GLI2_3,SFRP2_3,-0.238759625643878
ER+,PDCD1_3,IL2RG_3,-0.236688911072477
ER+,PTPRC_3,CYBB_3,-0.233111107702068
ER+,ABCA6_3,CFH_3,-0.232704930561471
ER+,GLI2_3,COL14A1_3,-0.230960590669531
ER+,PTPRC_3,IL2RG_3,-0.229930989884093
ER+,PTPRC_3,CD79B_3,-0.225590937091457
ER+,LAPTM5_3,CYBB_3,-0.221671276821339
ER+,LCP2_3,CYBB_3,-0.219814625013924
ER+,GP1BB_3,MAFA_3,-0.219783534689539
ER+,IL2RA_3,ICOS_3,-0.218284343689721
ER+,ABCB1_3,SELP_3,-0.214875496387702
ER+,LAPTM5_3,CD68_3,-0.214830832037241
ER+,LAPTM5_3,PARVG_3,-0.213946740875058
ER+,SF3A2_3,GP1BB_3,-0.208815413054081
ER+,PTPRC_3,CD226_3,-0.207340014108303
ER+,UBE2C_3,BUB1_3,-0.200779770122286
ER+,PTPRC_3,CTSS_3,-0.192040073959992
ER+,UBE2C_3,TACC3_3,-0.190705016282497
ER+,PTTG1_3,CDC25C_3,-0.190493842109858
ER+,ABCA6_3,C3_3,-0.186979016134483
ER+,BUB1B_3,RAD51_3,-0.186590608685366
ER+,HCN4_3,COX6A2_3,-0.185794674071664
ER+,GP1BB_3,HCN2_3,-0.182805622282053
ER+,ABCA8_3,ELN_3,-0.182335336689128
ER+,PTPRC_3,CD40_3,-0.181706945643817
ER+,ABCA8_3,PROS1_3,-0.18169402713798
ER+,PDCD1_3,STAT1_3,-0.181621750626746
ER+,LAPTM5_3,SLC7A7_3,-0.181514376052135
ER+,ABCA8_3,TEK_3,-0.181290458914314
ER+,BUB1B_3,BUB1_3,-0.179599133715309
ER+,CDC25C_3,UBE2C_3,-0.179512685099628
ER+,PDCD1_3,CD8B_3,-0.176058808925956
ER+,PTPRC_3,CD1C_3,-0.174450029645628
ER+,LAPTM5_3,CARD11_3,-0.172135911958309
ER+,PTPRC_3,TNFAIP3_3,-0.17005392018101
ER+,TLR4_3,CFH_3,-0.170023492728713
ER+,FOXM1_3,MYBL2_3,-0.169694686435168
ER+,PTPRC_3,ITGAL_3,-0.168794244387423
ER+,LAPTM5_3,CD72_3,-0.16752792924754
ER+,TLR4_3,PTGER4_3,-0.167516964085733
ER+,CD79A_3,PDCD1_3,-0.166045745444451
ER+,PTTG1_3,BUB1_3,-0.165046676514866
ER+,ABCB1_3,CD1C_3,-0.161487595438294
ER+,LAPTM5_3,PIK3AP1_3,-0.16098908066674
ER+,PDCD1_3,CTLA4_3,-0.160449115996945
ER+,PTPRC_3,CD72_3,-0.160311254693487
ER+,IL2RA_3,CD72_3,-0.160297902966045
ER+,CDC25C_3,RAD51_3,-0.16010883577336
ER+,CALD1_3,GLI2_3,-0.159984005944273
ER+,UBE2C_3,PKMYT1_3,-0.159503569953851
ER+,LAPTM5_3,CTSS_3,-0.159200769240815
ER+,LAPTM5_3,ITGAX_3,-0.158850924991249
ER+,FOXM1_3,BUB1_3,-0.158763984460707
ER+,ABCA8_3,SELP_3,-0.157684974670884
ER+,BUB1B_3,CDC6_3,-0.157565956502953
ER+,PTPRC_3,CCL2_3,-0.157292799012101
ER+,ABCA8_3,CD1C_3,-0.156969758479774
ER+,ABCA8_3,ABCA6_3,-0.156104479185723
ER+,UBE2C_3,TTK_3,-0.156040252135389
ER+,UBE2C_3,PLK1_3,-0.154664676260108
ER+,PDCD1_3,IL2RB_3,-0.154335444864832
ER+,PTPRC_3,IL2RB_3,-0.154295798024452
ER+,LAPTM5_3,TRPV2_3,-0.153950599849371
ER+,BUB1B_3,TTK_3,-0.152407804031612
ER+,UBE2C_3,RAD51_3,-0.151546614651472
ER+,CDC25C_3,TK1_3,-0.150965095038089
ER+,ABCB1_3,CD79B_3,-0.149488656150092
ER+,CALD1_3,HEPH_3,-0.149257540353839
ER+,WIPF1_3,HCLS1_3,-0.149195155470199
ER+,ABCA8_3,CH25H_3,-0.148858856735435
ER+,LAPTM5_3,C3AR1_3,-0.147124683692348
ER+,ABCA8_3,COL14A1_3,-0.146841120164795
ER+,BLM_3,RAD51_3,-0.146694361614004
ER+,UBE2C_3,CDC6_3,-0.145718932032917
ER+,ABCA6_3,CH25H_3,-0.140546166417345
ER+,WIPF1_3,PTPRC_3,-0.139821584460375
ER+,WIPF1_3,CHST11_3,-0.137817203746504
ER+,ABCA6_3,SELP_3,-0.137367036526254
ER+,ABCA6_3,COL14A1_3,-0.135795455884135
ER+,IL4I1_3,IL2RA_3,-0.134144418396872
ER+,LAT_3,CD8B_3,-0.134143233154203
ER+,CALD1_3,ACTG2_3,-0.134043927584147
ER+,GLI2_3,ELN_3,-0.131996618880348
ER+,PTPRC_3,STX11_3,-0.131557285612964
ER+,RAD54L_3,BUB1_3,-0.131454113000128
ER+,TLR4_3,SUCNR1_3,-0.131142794157176
ER+,CALD1_3,CHST3_3,-0.127574876306398
ER+,PDCD1_3,CD72_3,-0.126321360936997
ER+,PTTG1_3,TTK_3,-0.126166780414508
ER+,HCN4_3,GP1BB_3,-0.125272602710417
ER+,ABCB1_3,CH25H_3,-0.124646257884783
ER+,IL4I1_3,LILRB3_3,-0.124182546613933
ER+,ABCA6_3,F10_3,-0.122678610336846
ER+,PTPRC_3,CTLA4_3,-0.120905170267373
ER+,IL2RA_3,GRIN3A_3,-0.120588269235849
ER+,PTPRC_3,CD79A_3,-0.120219686100473
ER+,PDCD1_3,CTSC_3,-0.1198805012584
ER+,BUB1B_3,MAD2L1_3,-0.118882743637991
ER+,GTSE1_3,MYBL2_3,-0.117312412282526
ER+,LILRB3_3,CYBB_3,-0.116971565951043
ER+,GLI2_3,CYP7B1_3,-0.116733412303532
ER+,TLR4_3,LAPTM5_3,-0.116617046404473
ER+,BUB1B_3,PKMYT1_3,-0.115464741727171
ER+,UBE2C_3,MAD2L1_3,-0.113875417810046
ER+,IL4I1_3,STAT1_3,-0.11370260881852
ER+,LCP2_3,CCL2_3,-0.113573032416119
ER+,PTPRC_3,SPN_3,-0.112013753704561
ER+,SF3A2_3,MAFA_3,-0.111692164390499
ER+,BUB1B_3,GTSE1_3,-0.110585615203369
ER+,BLM_3,TTK_3,-0.110438177028747
ER+,HLA-DOA_3,CCR5_3,-0.109867131051664
