SampleGroup,RNASeq1,RNAseq2,Value
ER+,PTPN6_3,SF3B5_1,-0.557008648202245
ER+,DBF4_3,SH3GL1_1,-0.553060350800853
ER+,ABCB1_3,PABPN1_1,-0.543454092501072
ER+,TUBA1A_3,CHMP4B_1,-0.433880783775007
ER+,CD79A_3,QARS_1,-0.422405097577825
ER+,ARHGEF11_3,FTL_1,-0.422052497765869
ER+,CDC25C_3,ETF1_1,-0.412782072885229
ER+,BUB1B_3,GGPS1_1,-0.389014137172597
ER+,PTPRC_3,PIGY_1,-0.384464547025135
ER+,LAT_3,SH3GL1_1,-0.381606135521139
ER+,IL2RA_3,SNRPD2_1,-0.37815489588234
ER+,HCN4_3,SNRPA_1,-0.377041033077298
ER+,ITGAX_3,DYNLL1_1,-0.371742672818597
ER+,BUB1B_3,CIRH1A_1,-0.369843746330622
ER+,PTPRC_3,DDX42_1,-0.367656450942893
ER+,MYBL2_3,UBE2M_1,-0.367651423559634
ER+,CHST11_3,SDHC_1,-0.360158262737045
ER+,HCN4_3,COX7C_1,-0.359354830411207
ER+,MARS_3,ATP5A1_1,-0.342223909134535
ER+,GTF2A1_3,FUNDC1_1,-0.332320567873854
ER+,ZYX_3,PIGY_1,-0.331261176709705
ER+,WDR24_3,EHD1_1,-0.32296869292303
ER+,ABCB1_3,SNRPD2_1,-0.321048000574137
ER+,PTPRC_3,SDHC_1,-0.320143468270837
ER+,SNAP23_3,TXNL4A_1,-0.316307313280876
ER+,HSPG2_3,ATP5J_1,-0.316003028044915
ER+,IL4I1_3,TAF10_1,-0.310819008869199
ER+,WDR24_3,FUNDC1_1,-0.310051145566642
ER+,SNAP23_3,WARS_1,-0.307697447238667
ER+,NUP188_3,SNRPA_1,-0.304477283312043
ER+,ELAC1_3,CD63_1,-0.30438159220395
ER+,EHD2_3,ATP5G3_1,-0.302265888856488
ER+,SOX17_3,VAMP8_1,-0.291404230975538
ER+,CD79B_3,SH3GL1_1,-0.290880180260191
ER+,TLR4_3,ATP5E_1,-0.287527550234062
ER+,IL4I1_3,ATP5A1_1,-0.286283983153745
ER+,TAP1_3,SF3B5_1,-0.282177625063291
ER+,TNFAIP3_3,SNRPD3_1,-0.281023709911773
ER+,ZYX_3,TBL3_1,-0.274775393086764
ER+,EIF4G1_3,EIF5B_1,-0.274611018583123
ER+,GP1BB_3,ATG3_1,-0.268491551700788
ER+,TAP1_3,SH3GL1_1,-0.267380484843972
ER+,WIPF1_3,PABPN1_1,-0.265563263122904
ER+,CD79A_3,PIGY_1,-0.26394550242417
ER+,PTPRC_3,HNRNPA1L2_1,-0.257229400762609
ER+,RAD54L_3,ALDOA_1,-0.257020803691462
ER+,SF3A2_3,EMG1_1,-0.253277315272279
ER+,HSPG2_3,ARPC3_1,-0.252342755972617
ER+,TNFAIP3_3,COX5B_1,-0.252334609305531
ER+,CDC25C_3,WIPI2_1,-0.252111402278837
ER+,PLK1_3,DNASE2_1,-0.248927296836969
ER+,TLR4_3,RIOK2_1,-0.246018899724334
ER+,BUB1B_3,COX6A1_1,0.244433554887356
ER+,NBR1_3,VAMP8_1,-0.242599183970625
ER+,MYBL2_3,UQCRQ_1,0.240587190715594
ER+,SYF2_3,MCAT_1,-0.237820206080211
ER+,F10_3,UBA1_1,-0.236904113017945
ER+,MYH9_3,DKC1_1,-0.236520928215706
ER+,PTGIR_3,AP1S1_1,-0.23483044920109
ER+,BUB1B_3,PRPF31_1,-0.234025673912611
ER+,WIPF1_3,TUBA1B_1,-0.23101438928295
ER+,C1QB_3,VAMP8_1,-0.230459293544545
ER+,FXYD1_3,ELK1_1,-0.23021999252551
ER+,VPS4A_3,PABPN1_1,-0.229907234255925
ER+,HSPG2_3,UBE2M_1,-0.227631797504307
ER+,AP1B1_3,TUBA1C_1,-0.224613963173567
ER+,TNFAIP3_3,ATP5H_1,-0.222123741151217
ER+,PTGIR_3,SOD1_1,-0.219185541783429
ER+,TTK_3,ATG12_1,-0.219072554281065
ER+,ACTR3_3,RBMX_1,-0.219071061106004
ER+,WIPF1_3,ARHGDIA_1,-0.21686607212479
ER+,MT2A_3,COX8A_1,-0.215579847530894
ER+,F10_3,RRAGA_1,-0.215020317505995
ER+,LCP2_3,FARSB_1,-0.214022494643251
ER+,HSPG2_3,UQCRQ_1,-0.212194848254658
ER+,TTK_3,CNOT3_1,-0.211785253393165
ER+,SF3A2_3,SH3GL1_1,-0.210172244001868
ER+,HSPG2_3,ATG3_1,-0.206516338087169
ER+,CTSB_3,TRA2A_1,-0.206439340575552
ER+,TCERG1_3,EIF3C_1,-0.205660596719279
ER+,TLR4_3,UBE2D2_1,-0.205186365201529
ER+,COX6A2_3,NAPA_1,-0.20170802717838
ER+,BLM_3,COX7B_1,-0.201253799747039
ER+,F10_3,DYNLL1_1,-0.201068770456195
ER+,C3_3,ARHGDIA_1,-0.199355958409644
ER+,PKMYT1_3,ATG12_1,-0.199258025090115
ER+,PKMYT1_3,HIBADH_1,-0.197615209703101
ER+,IL2RA_3,UQCRFS1_1,-0.197271952427594
ER+,PTPRC_3,GEMIN8_1,-0.196642731808514
ER+,TCERG1_3,PQBP1_1,-0.19627361496839
ER+,FXYD1_3,EIF1_1,-0.195996151344343
