mRNA,RNAseq,stat
DCTN2_3,EIF4A1_1,2560.6
DCTN2_3,ARPC4_1,2021.8
ST8SIA1_3,EIF4A1_1,1948.2
DCTN2_3,PAIP1_1,1922.3
DCTN2_3,SNX5_1,1825.1
DCTN2_3,SUMO3_1,1817.6
DCTN2_3,CETN2_1,1779.2
DCTN2_3,SF3B4_1,1755.8
ST8SIA1_3,ARPC4_1,1516.5
ST8SIA1_3,PAIP1_1,1453.9
ST8SIA1_3,SUMO3_1,1429.1
ST8SIA1_3,SF3B4_1,1390.3
ST8SIA1_3,SNX5_1,1356.6
ST8SIA1_3,CETN2_1,1255.4
FUT5_3,EIF4A1_1,1252.4
XPA_3,EIF4A1_1,1071.7
FUT5_3,ARPC4_1,976.6
FUT5_3,PAIP1_1,922.7
FUT5_3,SF3B4_1,898
FUT5_3,SNX5_1,887.4
FUT5_3,SUMO3_1,865.6
XPA_3,ARPC4_1,838.2
RETSAT_3,EIF4A1_1,831.3
FUT5_3,CETN2_1,827.6
XPA_3,PAIP1_1,814.9
XPA_3,SF3B4_1,789.5
XPA_3,SNX5_1,774.2
TAF4B_3,EIF4A1_1,768.2
XPA_3,SUMO3_1,763.9
XPA_3,CETN2_1,716.7
RETSAT_3,ARPC4_1,650.5
RETSAT_3,PAIP1_1,623.7
TAF4B_3,ARPC4_1,612.7
RETSAT_3,SUMO3_1,592.6
RETSAT_3,SF3B4_1,577.4
RETSAT_3,SNX5_1,576.9
TAF4B_3,PAIP1_1,569.6
TAF4B_3,SF3B4_1,564.6
TAF4B_3,SNX5_1,562
TAF4B_3,SUMO3_1,551.8
RETSAT_3,CETN2_1,542.8
UNG_3,EIF4A1_1,529.5
TAF4B_3,CETN2_1,503.9
RAD23A_3,EIF4A1_1,425.8
UNG_3,ARPC4_1,413.4
UNG_3,PAIP1_1,409.9
UNG_3,SUMO3_1,382
UNG_3,SF3B4_1,381.9
UNG_3,SNX5_1,378.5
UNG_3,CETN2_1,355.9
RAD23A_3,ARPC4_1,335.7
TAF9_3,EIF4A1_1,318.6
RAD23A_3,PAIP1_1,318
RAD23A_3,SNX5_1,300.6
RAD23A_3,SF3B4_1,297.1
RAD23A_3,SUMO3_1,292.8
CYP7B1_3,EIF4A1_1,288.2
RAD23A_3,CETN2_1,279.8
ARHGDIB_3,EIF4A1_1,259
TAF9_3,ARPC4_1,250.2
TAF9_3,CETN2_1,240.3
TAF9_3,SNX5_1,229.8
TAF9_3,PAIP1_1,228.1
CYP7B1_3,CETN2_1,221.5
CYP7B1_3,ARPC4_1,217.8
DCTN2_3,ATP5G3_1,213.4
CYP7B1_3,PAIP1_1,208.5
TAF9_3,SF3B4_1,208.1
CYP7B1_3,SNX5_1,206.4
ARHGDIB_3,PAIP1_1,200.2
TAF9_3,SUMO3_1,199.8
ARHGDIB_3,ARPC4_1,198.2
ARHGDIB_3,SF3B4_1,192.1
ARHGDIB_3,SUMO3_1,183.1
ARHGDIB_3,CETN2_1,183.1
CYP7B1_3,SF3B4_1,181.2
ARHGDIB_3,SNX5_1,179.2
CYP7B1_3,SUMO3_1,173.2
ST8SIA1_3,ATP5G3_1,136.6
MMP2_3,EIF4A1_1,135.9
CYP7B1_3,PARP2_1,123.1
FUT5_3,ATP5G3_1,117.4
CH25H_3,EIF4A1_1,117.1
CYP7B1_3,SDHC_1,113.8
RETSAT_3,ATP5G3_1,111.4
CYP7B1_3,ATIC_1,111.2
MMP2_3,ARPC4_1,109.1
CYP7B1_3,DDX42_1,108.2
CYP7B1_3,ALDOA_1,107.8
XPA_3,ATP5G3_1,107.6
MMP2_3,PAIP1_1,106.5
CYP7B1_3,RBMX_1,104.7
CYP7B1_3,QARS_1,102.7
MMP2_3,CETN2_1,99.2
MMP2_3,SUMO3_1,99
SQRDL_3,ALDOA_1,98.3
MMP2_3,SF3B4_1,97.1
TAF4B_3,ATP5G3_1,96.3
MMP2_3,SNX5_1,95.7
SQRDL_3,ATP5G3_1,95.5
RDH16_3,EIF4A1_1,94.6
ST3GAL6_3,EIF4A1_1,94
CH25H_3,PAIP1_1,93.6
CYP7B1_3,PIGY_1,92.3
CH25H_3,ARPC4_1,89
TAF9_3,TRA2B_1,88.5
CH25H_3,SF3B4_1,86.8
CH25H_3,SUMO3_1,85.2
CH25H_3,SNX5_1,85
CYP7B1_3,ECH1_1,84
CH25H_3,CETN2_1,81.2
CYP7B1_3,EXOSC2_1,81.1
SQRDL_3,TBL3_1,80.9
ST3GAL6_3,SUMO3_1,80.1
ST3GAL6_3,ARPC4_1,76.6
CYP7B1_3,HNRNPU_1,74.2
RDH16_3,ARPC4_1,73.3
CYP7B1_3,ATP5G3_1,72.2
ST3GAL6_3,SF3B4_1,70.8
ST3GAL6_3,PAIP1_1,70.6
RDH16_3,SUMO3_1,70.3
RDH16_3,PAIP1_1,68.7
SQRDL_3,HNRNPA3_1,67.9
TAF9_3,COX7C_1,67.3
CYP7B1_3,SNRPA_1,66.8
RDH16_3,SF3B4_1,66.5
SQRDL_3,RNF7_1,65.9
SQRDL_3,SOD1_1,64.2
SQRDL_3,UQCR10_1,62.6
RDH16_3,SNX5_1,62.5
PGM2_3,EIF4A1_1,62.4
SQRDL_3,COX5B_1,62.4
CYP7B1_3,RAD23A_1,61.5
ST3GAL6_3,SNX5_1,60.6
TAF9_3,TAF9_1,60.3
ST8SIA1_3,DYNLL1_1,59.9
SQRDL_3,EIF1AX_1,59.3
SQRDL_3,HMGB1_1,58.9
RDH16_3,CETN2_1,58.2
UNG_3,ATP5G3_1,57.7
SQRDL_3,EIF1_1,57.5
ST3GAL6_3,ATP5A1_1,56.3
SQRDL_3,ATP5G2_1,56.2
SQRDL_3,AP1S1_1,56.1
SQRDL_3,COX6B1_1,55.5
SQRDL_3,UQCRH_1,55.5
ST8SIA1_3,SNRNP70_1,55.5
ST3GAL6_3,APEX1_1,55.3
SQRDL_3,SNRPD3_1,54.3
SQRDL_3,GGPS1_1,54.2
SQRDL_3,ATP5H_1,52.2
ST3GAL6_3,TAF10_1,51.7
KCNN3_3,EIF4A1_1,50.8
CYP7B1_3,TRA2B_1,50.2
ST3GAL6_3,CETN2_1,49.5
PGM2_3,SUMO3_1,49.1
PGM2_3,SF3B4_1,48.4
SQRDL_3,EIF3CL_1,48.3
ST8SIA1_3,RRAGA_1,48.2
PGM2_3,PAIP1_1,47.9
SQRDL_3,FTL_1,47.5
SQRDL_3,PRDX5_1,47.3
TAF9_3,UQCRQ_1,47.3
SQRDL_3,RAD23A_1,47.3
SQRDL_3,HSP90B1_1,46.9
SQRDL_3,TRA2A_1,45.9
SQRDL_3,PGK1_1,45.5
SQRDL_3,EIF4A1_1,45.1
CYP7B1_3,TAF9_1,44.9
SQRDL_3,KARS_1,44.5
PGM2_3,ARPC4_1,44
SQRDL_3,NARS_1,43.9
KCNN3_3,CETN2_1,43.6
CYP7B1_3,PGK1_1,43
SQRDL_3,SUMO3_1,42.3
CYP7B1_3,RNF7_1,42.3
ST3GAL6_3,PABPN1_1,42.1
SQRDL_3,EIF5B_1,41.2
PGM2_3,SNX5_1,40.6
DCTN2_3,SNRNP70_1,40.2
DCTN2_3,ATP5O_1,40
SQRDL_3,YWHAE_1,39.8
SQRDL_3,FUNDC1_1,39.2
KCNN3_3,SNX5_1,39.1
SQRDL_3,DNASE2_1,39.1
ST3GAL6_3,HNRNPC_1,38.9
SQRDL_3,GAPDH_1,38.9
SQRDL_3,ARF5_1,38.8
DCTN2_3,RRAGA_1,38.8
SQRDL_3,ARPC4_1,38.5
CYP7B1_3,FTL_1,38.4
SQRDL_3,SNRPG_1,38.2
DCTN2_3,HNRNPU_1,38
SQRDL_3,BUD31_1,37.7
SQRDL_3,SNRPD1_1,37.3
CYP7B1_3,SNRPD2_1,37.2
CYP7B1_3,ARF5_1,37.2
ST8SIA1_3,ATP5O_1,37
KCNN3_3,ARPC4_1,37
KCNN3_3,HNRNPA1_1,36.9
SQRDL_3,SF3B4_1,36.9
CH25H_3,ATP5G3_1,36.7
SQRDL_3,ARPC2_1,36.2
SQRDL_3,NOP56_1,36.1
KCNN3_3,UBE2D2_1,35.8
PGM2_3,CETN2_1,35.5
CYP7B1_3,ATP5A1_1,35.4
RAD23A_3,ATP5G3_1,35.2
SQRDL_3,FUCA2_1,35
SQRDL_3,ELK1_1,35
ST8SIA1_3,CIRH1A_1,34.9
KCNN3_3,PAIP1_1,34.8
SQRDL_3,NPRL2_1,34.6
SQRDL_3,ATP5L_1,34.5
SQRDL_3,NOP58_1,34.3
ST8SIA1_3,PARP2_1,34.2
CYP7B1_3,CIRH1A_1,34
SQRDL_3,EHD1_1,33.8
ST8SIA1_3,RBBP4_1,33.2
CYP7B1_3,ATP5G2_1,33.2
HSD17B6_3,PABPN1_1,33.1
SQRDL_3,UQCRB_1,33.1
SQRDL_3,EPN1_1,33.1
SQRDL_3,PAIP1_1,33
ST3GAL6_3,RBBP4_1,32.5
ST8SIA1_3,SDHC_1,32.3
SQRDL_3,SNX5_1,32.2
SQRDL_3,EIF3I_1,31.8
SQRDL_3,SNRPB_1,31.7
KCNN3_3,RIOK2_1,31.4
SQRDL_3,DKC1_1,31.2
SQRDL_3,EIF3C_1,31.2
SQRDL_3,FARSB_1,31.1
ST3GAL6_3,THOC7_1,30.9
SQRDL_3,EIF6_1,30.3
KCNN3_3,SF3B4_1,30.2
SQRDL_3,WARS_1,29.9
SQRDL_3,DCP2_1,29.8
CYP7B1_3,ATP5B_1,29.3
SQRDL_3,UQCRC1_1,29.3
SQRDL_3,TUBA1C_1,29.3
MCAT_3,CETN2_1,29.3
SQRDL_3,FTH1_1,29.1
MCAT_3,EIF4A1_1,28.9
SQRDL_3,HNRNPC_1,28.6
CYP7B1_3,UQCRB_1,28.6
KCNN3_3,SUMO3_1,28.6
SQRDL_3,GEMIN7_1,28.6
KCNN3_3,ATP5E_1,28.4
